run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,3,3,3,20,0.001,0.3,4,1001,0.2106,95.69,2.2681,45.26
20251015-122621,controller_v2,3,3,4,20,0.001,0.3,4,1001,0.1133,98.69,2.0305,49.28
20251015-122621,controller_v2,3,3,5,20,0.001,0.3,4,1001,0.0669,99.31,1.972,49.44
20251015-122621,controller_v2,3,3,6,20,0.001,0.3,4,1001,0.0361,99.69,1.9259,51.3
20251015-122621,controller_v2,4,0,1,20,0.001,0.35,5,1001,0.9093,74.2,1.587,57.96
20251015-122621,controller_v2,4,0,2,20,0.001,0.35,5,1001,0.3582,91.03,2.243,46.0
20251015-122621,controller_v2,4,0,3,20,0.001,0.35,5,1001,0.1816,97.11,2.2019,45.7
20251015-122621,controller_v2,4,0,4,20,0.001,0.35,5,1001,0.0887,98.96,2.3306,43.0
20251015-122621,controller_v2,4,0,5,20,0.001,0.35,5,1001,0.0556,99.56,1.9824,49.32
20251015-122621,controller_v2,4,0,6,20,0.001,0.35,5,1001,0.0302,99.7,1.9306,50.46
20251015-122621,controller_v2,4,1,1,20,0.001,0.35,5,1001,0.9013,75.83,1.4653,61.2
20251015-122621,controller_v2,4,1,2,20,0.001,0.35,5,1001,0.3651,91.18,1.8263,51.84
20251015-122621,controller_v2,4,1,3,20,0.001,0.35,5,1001,0.1809,96.22,1.9295,50.4
20251015-122621,controller_v2,4,1,4,20,0.001,0.35,5,1001,0.1014,98.37,1.9626,50.54
20251015-122621,controller_v2,4,1,5,20,0.001,0.35,5,1001,0.0646,99.18,2.0329,50.64
20251015-122621,controller_v2,4,1,6,20,0.001,0.35,5,1001,0.0358,99.7,1.7981,53.6
20251015-122621,controller_v2,4,2,1,20,0.001,0.35,5,1001,0.8992,76.8,1.3671,62.62
20251015-122621,controller_v2,4,2,2,20,0.001,0.35,5,1001,0.3129,92.22,1.6612,55.02
